Date,Value
1/1/1971,6.24
2/1/1971,6.11
3/1/1971,5.7
4/1/1971,5.83
5/1/1971,6.39
6/1/1971,6.52
7/1/1971,6.73
8/1/1971,6.58
9/1/1971,6.14
10/1/1971,5.93
11/1/1971,5.81
12/1/1971,5.93
1/1/1972,5.95
2/1/1972,6.08
3/1/1972,6.07
4/1/1972,6.19
5/1/1972,6.13
6/1/1972,6.11
7/1/1972,6.11
8/1/1972,6.21
9/1/1972,6.55
10/1/1972,6.48
11/1/1972,6.28
12/1/1972,6.36
1/1/1973,6.46
2/1/1973,6.64
3/1/1973,6.71
4/1/1973,6.67
5/1/1973,6.85
6/1/1973,6.9
7/1/1973,7.13
8/1/1973,7.4
9/1/1973,7.09
10/1/1973,6.79
11/1/1973,6.73
12/1/1973,6.74
1/1/1974,6.99
2/1/1974,6.96
3/1/1974,7.21
4/1/1974,7.51
5/1/1974,7.58
6/1/1974,7.54
7/1/1974,7.81
8/1/1974,8.04
9/1/1974,8.04
10/1/1974,7.9
11/1/1974,7.68
12/1/1974,7.43
1/1/1975,7.5
2/1/1975,7.39
3/1/1975,7.73
4/1/1975,8.23
5/1/1975,8.06
6/1/1975,7.86
7/1/1975,8.06
8/1/1975,8.4
9/1/1975,8.43
10/1/1975,8.14
11/1/1975,8.05
12/1/1975,8
1/1/1976,7.74
2/1/1976,7.79
3/1/1976,7.73
4/1/1976,7.56
5/1/1976,7.9
6/1/1976,7.86
7/1/1976,7.83
8/1/1976,7.77
9/1/1976,7.59
10/1/1976,7.41
11/1/1976,7.29
12/1/1976,6.87
1/1/1977,7.21
2/1/1977,7.39
3/1/1977,7.46
4/1/1977,7.37
5/1/1977,7.46
6/1/1977,7.28
7/1/1977,7.33
8/1/1977,7.4
9/1/1977,7.34
10/1/1977,7.52
11/1/1977,7.58
12/1/1977,7.69
1/1/1978,7.96
2/1/1978,8.03
3/1/1978,8.04
4/1/1978,8.15
5/1/1978,8.35
6/1/1978,8.46
7/1/1978,8.64
8/1/1978,8.41
9/1/1978,8.42
10/1/1978,8.64
11/1/1978,8.81
12/1/1978,9.01
1/1/1979,9.1
2/1/1979,9.1
3/1/1979,9.12
4/1/1979,9.18
5/1/1979,9.25
6/1/1979,8.91
7/1/1979,8.95
8/1/1979,9.03
9/1/1979,9.33
10/1/1979,10.3
11/1/1979,10.65
12/1/1979,10.39
1/1/1980,10.8
2/1/1980,12.41
3/1/1980,12.75
4/1/1980,11.47
5/1/1980,10.18
6/1/1980,9.78
7/1/1980,10.25
8/1/1980,11.1
9/1/1980,11.51
10/1/1980,11.75
11/1/1980,12.68
12/1/1980,12.84
1/1/1981,12.57
2/1/1981,13.19
3/1/1981,13.12
4/1/1981,13.68
5/1/1981,14.1
6/1/1981,13.47
7/1/1981,14.28
8/1/1981,14.94
9/1/1981,15.32
10/1/1981,15.15
11/1/1981,13.39
12/1/1981,13.72
1/1/1982,14.59
2/1/1982,14.43
3/1/1982,13.86
4/1/1982,13.87
5/1/1982,13.62
6/1/1982,14.3
7/1/1982,13.95
8/1/1982,13.06
9/1/1982,12.34
10/1/1982,10.91
11/1/1982,10.55
12/1/1982,10.54
1/1/1983,10.46
2/1/1983,10.72
3/1/1983,10.51
4/1/1983,10.4
5/1/1983,10.38
6/1/1983,10.85
7/1/1983,11.38
8/1/1983,11.85
9/1/1983,11.65
10/1/1983,11.54
11/1/1983,11.69
12/1/1983,11.83
1/1/1984,11.67
2/1/1984,11.84
3/1/1984,12.32
4/1/1984,12.63
5/1/1984,13.41
6/1/1984,13.56
7/1/1984,13.36
8/1/1984,12.72
9/1/1984,12.52
10/1/1984,12.16
11/1/1984,11.57
12/1/1984,11.5
1/1/1985,11.38
2/1/1985,11.51
3/1/1985,11.86
4/1/1985,11.43
5/1/1985,10.85
6/1/1985,10.16
7/1/1985,10.31
8/1/1985,10.33
9/1/1985,10.37
10/1/1985,10.24
11/1/1985,9.78
12/1/1985,9.26
1/1/1986,9.19
2/1/1986,8.7
3/1/1986,7.78
4/1/1986,7.3
5/1/1986,7.71
6/1/1986,7.8
7/1/1986,7.3
8/1/1986,7.17
9/1/1986,7.45
10/1/1986,7.43
11/1/1986,7.25
12/1/1986,7.11
1/1/1987,7.08
2/1/1987,7.25
3/1/1987,7.25
4/1/1987,8.02
5/1/1987,8.61
6/1/1987,8.4
7/1/1987,8.45
8/1/1987,8.76
9/1/1987,9.42
10/1/1987,9.52
11/1/1987,8.86
12/1/1987,8.99
1/1/1988,8.67
2/1/1988,8.21
3/1/1988,8.37
4/1/1988,8.72
5/1/1988,9.09
6/1/1988,8.92
7/1/1988,9.06
8/1/1988,9.26
9/1/1988,8.98
10/1/1988,8.8
11/1/1988,8.96
12/1/1988,9.11
1/1/1989,9.09
2/1/1989,9.17
3/1/1989,9.36
4/1/1989,9.18
5/1/1989,8.86
6/1/1989,8.28
7/1/1989,8.02
8/1/1989,8.11
9/1/1989,8.19
10/1/1989,8.01
11/1/1989,7.87
12/1/1989,7.84
1/1/1990,8.21
2/1/1990,8.48
3/1/1990,8.59
4/1/1990,8.79
5/1/1990,8.74
6/1/1990,8.48
7/1/1990,8.47
8/1/1990,8.77
9/1/1990,8.89
10/1/1990,8.72
11/1/1990,8.38
12/1/1990,8.08
1/1/1991,8.09
2/1/1991,7.85
3/1/1991,8.11
4/1/1991,8.04
5/1/1991,8.07
6/1/1991,8.28
7/1/1991,8.27
8/1/1991,7.89
9/1/1991,7.65
10/1/1991,7.53
11/1/1991,7.41
12/1/1991,7.09
1/1/1992,7.03
2/1/1992,7.34
3/1/1992,7.54
4/1/1992,7.48
5/1/1992,7.38
6/1/1992,7.26
7/1/1992,6.83
8/1/1992,6.59
9/1/1992,6.41
10/1/1992,6.61
11/1/1992,6.87
12/1/1992,6.76
1/1/1993,6.6
2/1/1993,6.25
3/1/1993,5.98
4/1/1993,5.97
5/1/1993,6.04
6/1/1993,5.96
7/1/1993,5.81
8/1/1993,5.68
9/1/1993,5.36
10/1/1993,5.33
11/1/1993,5.73
12/1/1993,5.77
1/1/1994,5.75
2/1/1994,5.98
3/1/1994,6.49
4/1/1994,6.97
5/1/1994,7.18
6/1/1994,7.1
7/1/1994,7.3
8/1/1994,7.24
9/1/1994,7.47
10/1/1994,7.74
11/1/1994,7.96
12/1/1994,7.81
1/1/1995,7.78
2/1/1995,7.46
3/1/1995,7.2
4/1/1995,7.06
5/1/1995,6.61
6/1/1995,6.17
7/1/1995,6.28
8/1/1995,6.49
9/1/1995,6.2
10/1/1995,6.04
11/1/1995,5.93
12/1/1995,5.71
1/1/1996,5.65
2/1/1996,5.81
3/1/1996,6.28
